index,video_url,comment,concern_wildlife,concern_human,appreciation_wildlife,appreciation_human,call_to_action,comment_id,video_id,bert_aw,bert_ah,bert_cw,bert_ch,bert_call
0,-2z-CCvvm0o,Awwww Love Love love so much heart in this !!,,,1.0,3.0,0,10216.0,0.0,1.0,1.0,0.0,0.0,0.0
1,-2z-CCvvm0o,Bless your kind hearts.,,,0.0,2.0,0,10217.0,0.0,0.0,1.0,0.0,0.0,0.0
2,-2z-CCvvm0o,"Great video, the true meaning of life, to live and let live and to help all GOD's creatures, Love lives in your home!",,,3.0,2.0,0,10218.0,0.0,1.0,1.0,0.0,0.0,0.0
3,-2z-CCvvm0o,So cute,,,3.0,0.0,0,10262.0,318.3333333333333,1.0,0.0,0.0,0.0,0.0
4,-2z-CCvvm0o,So lovely and sweet.......,,,3.0,1.0,0,10212.0,0.0,1.0,0.0,0.0,0.0,0.0
5,-2z-CCvvm0o,So touching the song,,,0.0,1.0,0,10224.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-2z-CCvvm0o,Such a beautiful bond<3:),,,2.0,2.0,0,10209.0,0.0,1.0,1.0,0.0,0.0,0.0
7,-2z-CCvvm0o,They are such beautiful creatures.,,,3.0,0.0,0,10206.0,0.0,1.0,0.0,0.0,0.0,0.0
8,-2z-CCvvm0o,"This is lovely!
Thank you so much for saving this beautiful animal.
You give hope. There are good people in this world, who are the voice for the voiceless, who CARE.
Again, thank you!",1.0,0.0,3.0,3.0,0,10207.0,0.0,1.0,1.0,0.0,0.0,0.0
9,-2z-CCvvm0o,Thought this music was from Tarzan.,,,,,0,10226.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-2z-CCvvm0o,Walt Disney wasn't lying when he said that fawns act like pets.,,,,,0,10219.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-2z-CCvvm0o,Wonderful video. So nice to watch Calley evolve. Great job on raising her!,,,2.0,3.0,0,10208.0,0.0,1.0,1.0,0.0,0.0,0.0
12,-2z-CCvvm0o,"so, what did you feed her with? doesn't she need deer milk?",1.0,0.0,,,0,10223.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-2z-CCvvm0o,such a amazing touching video i loved it :),,,2.0,2.0,0,10210.0,0.0,1.0,1.0,0.0,0.0,0.0
14,-5f_e-rBH_A,"Cant wait for the summer of 2013!
I get to play with the wolfie puppies!",,,2.0,0.0,0,,,,,,,
15,-5f_e-rBH_A,"Leslie Hayhurst is to be commended on her efforts to rehabilitate the animals that she so dearly loves and restore those that she can back to the wild and adopt out others where she can.  It is amazing that she can do what she does on the small amount of donations received.  Beech Mountain is lucky to have Leslie, her assistants, donors and volunteers.",,,1.0,3.0,0,,,,,,,
16,-5f_e-rBH_A,"Wow thank you so much for putting the up! I work her every summer and i have since i was 9! Kail wasent beening a good girl that day! She lets me go in there and pet her while she sits in my lap. Leslie is such an amazing person and im so happy for her that she is getting all that land and cages at Eagels Nest! Haha I love Tracy, the bobcat! She is such a lover! I also love how Leslies dog, Max, is just kinda walkin around like he owns the place! Then the Raccons! LOVE THEM!!! Thanks again!",,,3.0,3.0,0,,,,,,,
17,-5f_e-rBH_A,good choice of music lol,,,0.0,0.0,0,,,,,,,
18,-5f_e-rBH_A,"i love this activity ,can i work for you?i live in rome ,my dreams was stuty zoologyst",,,1.0,0.0,0,,,,,,,
19,-91b0XKXdhc,@Eaglecreekbrewer it is it happening to u and u need to get ur facts straight and get envolved in something other than annoying people and beer,0.0,1.0,,,0,13421.0,1.0,0.0,0.0,0.0,0.0,1.0
20,-91b0XKXdhc,@Eaglecreekbrewer wat are u talking about? u must be drunk,,,,,0,13432.0,1.0,0.0,0.0,0.0,0.0,0.0
21,-91b0XKXdhc,@Eaglecreekbrewersorry but i didnt choose sides i dont even like wolves i just dont likepeople hunting near endangered animals and by nuts u mean people who dont like species going extinct then yes they are nuts but there not gonna give up so easily.,2.0,0.0,,,0,13424.0,1.0,0.0,0.0,1.0,0.0,0.0
22,-91b0XKXdhc,"@airsoftmarxman 5 people in Idaho have now been confirmed with life threatening diseases that were brought by wolves, we have had over a dozen wolf/human confrontations in just the last year alone. But then again, it isn't happening to YOU right? So why concern yourself with facts when emotion is so much easier. ",1.0,2.0,,,0,13425.0,1.0,0.0,0.0,0.0,1.0,0.0
